iteration;score;goals;p0;p1;p2;p3;p4;p5;p6;p7;p8;p9
44;221;453;0.68;0.45;0.41;0.95;0.7;0.75;1;0.08;0.51;0.99
45;208;477;0.68;0.45;0.41;0.95;0.7;0.75;1;0.08;0.51;0.99
13;178;283;0.88;0.45;0.66;0.95;0;0.75;0.53;0.08;0.23;0.36
48;177;282;0.68;0.35;0.5;1;0;0.34;1;0.08;0.51;0.59
16;168;293;0.88;0.45;0.66;0.95;0;0.75;0.53;0.08;0.94;0.36
29;168;266;0.88;0.45;0.66;0.95;0;0.75;0.39;0.08;0.56;0.36
9;166;274;0.88;0.45;0.66;0.95;0;0.75;0.53;0.08;0.23;0.36
18;166;264;0.88;0.45;0.66;0.95;0;0.75;0.39;0.08;0.56;0.36
20;164;276;0.88;0.45;0.66;0.95;0;0.75;0.53;0.08;0.56;0.36
31;164;268;0.88;0.45;0.66;0.95;0;0.75;0.39;0.08;0.56;0.36
14;164;252;0.88;0.45;0.66;0.95;0;0.75;0.53;0.08;0.23;0.36
10;163;274;0.88;0.45;0.66;0.95;0;0.75;0.53;0.08;0.23;0.36
49;160;263;0.68;0.35;0.5;1;0;0.34;1;0.08;0.51;0.59
33;156;265;0.88;0.45;0.73;0.95;0;0.09;0.39;0.08;0.56;0.36
23;156;254;0.88;0.45;0.67;0.95;0;0.75;0.51;0.08;0.51;0.36
19;155;252;0.88;0.45;0.67;0.95;0;0.75;0.51;0.08;0.51;0.36
12;154;264;0.88;0.45;0.66;0.95;0;0.75;0.53;0.08;0.23;0.36
21;154;264;0.88;0.45;0.66;0.95;0;0.75;0.39;0.08;0.56;0.36
42;152;283;0.88;0.45;0.63;1;0;0.34;0.66;0.08;0.56;0.36
34;151;239;0.88;0.45;0.73;0.95;0;0.09;0.39;0.08;0.56;0.36
11;148;254;0.88;0.45;0.66;0.95;0;0.81;0.53;0.08;0.23;0.36
25;148;244;0.88;0.45;0.66;0.95;0;0.75;0.39;0.08;0.56;0.36
37;142;357;0.54;0.45;0.41;0.95;0;0.75;1;0.08;0.51;0.36
32;138;236;0.88;0.45;0.66;1;0;0.75;0.39;0.08;0.56;0.36
22;136;312;0.88;0.45;0.13;0.95;0;0.75;0.96;0.2;0.23;0.36
30;134;277;0.88;0.45;0.66;0.95;0;0.75;0.39;0.08;0.56;0.36
24;133;309;0.88;0.45;0.13;0.95;0;0.75;0.96;0.2;0.58;0.36
7;131;317;0.88;0.45;0.13;0.95;0;0.75;0.51;0.08;0.23;0.36
41;127;279;0.68;0.45;0.41;1;0;0.34;1;0.08;0.51;0.99
15;127;259;0.88;0.45;0.66;0.95;0;0.75;0.53;0.08;0.94;0.36
5;126;348;0.88;0.45;0.13;0.79;0.75;0.84;0.51;0.08;0.23;0.36
17;124;291;0.88;0.45;0.13;0.95;0;0.75;0.96;0.2;0.23;0.36
26;123;297;0.88;0.45;0.13;0.95;0;0.75;0.96;0.2;0.58;0.36
46;121;279;0.68;0.45;0.41;1;0;0.34;1;0.08;0.51;0.99
35;120;316;0.88;0.45;0.01;1;0;0.34;0.51;0.08;0.51;0.23
1;120;267;0.57;0.06;0.79;0.95;0;0.75;0.58;0.01;0.87;0.19
8;117;322;0.88;0.45;0.13;0.91;0;0.78;0.51;0.08;0.04;0.36
47;117;307;0.61;0.45;0.37;1;0;0.34;1;0.08;0.51;0.59
28;116;270;0.88;0.45;0.41;0.95;0;0.75;0.51;0.08;0.51;0.36
3;115;306;0.88;0.45;0.13;0.95;0;0.75;0.51;0.08;0.23;0.36
40;115;273;0.68;0.45;0.41;1;0;0.34;1;0.08;0.51;0.99
43;114;305;0.68;0.45;0.37;0.51;0;0.09;1;0.08;0.51;0.59
36;114;227;0.88;0.45;0.63;1;0;0.34;0.39;0.08;0.56;0.1
0;113;343;0.88;0.45;0.13;0.79;0.75;0.48;0.51;0.08;0.23;0.36
2;112;300;0.88;0.45;0.13;0.95;0;0.75;0.51;0.08;0.23;0.36
27;109;298;0.88;0.45;0.41;0.95;0;0.75;0.51;0.08;0.51;0.36
39;104;228;0.88;0;0.01;1;0;0.34;0.51;0.08;0.51;0.36
6;102;307;0.88;0.45;0.13;0.95;0;0.75;0.51;0.08;0.23;0.36
4;99;290;0.88;0.45;0.13;0.95;0;0.75;0.51;0.08;0.23;0.36
38;77;214;0.88;0;0.01;1;0;0.34;0.51;0.08;0.51;0.36
